Age,Income,CreditScore,LoanAmount,Experience,Savings,TransactionCount,Approved
47,75975,718,227793,2,196830,101,1
29,85545,565,178117,23,167730,66,1
46,137302,611,104703,8,185074,105,1
42,103797,512,255796,25,137447,85,1
50,77307,585,148557,19,104485,57,1
37,28093,733,273317,9,27092,51,0
46,102258,589,215877,18,136562,36,1
56,47042,813,63309,2,8729,83,0
21,77930,553,63527,23,142046,119,1
28,142584,511,244490,4,123222,61,1
55,69413,708,159883,2,90216,51,1
35,138387,513,113344,26,88860,41,1
42,118623,620,175344,15,101870,115,1
34,122883,519,243564,14,26398,35,1
46,58756,574,67153,34,39650,34,1
48,78268,742,128042,11,157364,84,1
43,64214,722,74110,25,108889,32,1
34,106871,569,165051,33,8159,107,1
44,53602,811,261131,22,103162,66,1
22,78331,710,259173,30,198838,61,1
46,73901,600,48328,19,107834,113,1
34,124986,685,132911,11,153137,96,1
27,88416,631,295011,22,26638,102,0
23,57196,610,79234,3,6073,40,0
43,30626,631,268503,22,182583,73,0
38,32424,519,247135,0,34320,80,0
58,37857,523,93402,24,39924,113,1
55,135459,726,297593,1,176806,42,1
35,140621,653,25451,29,73116,94,1
45,44982,792,107178,2,176097,11,1
57,101961,729,256562,20,7159,27,1
48,26980,809,143765,24,53940,56,1
30,73290,701,148389,19,84436,42,1
59,51431,537,209699,21,19678,110,0
37,109976,759,217227,20,197147,107,1
59,132288,687,285786,32,183276,93,1
42,107711,556,280220,14,148093,44,1
46,139187,519,245898,14,142844,60,1
45,51385,772,296266,24,72163,27,1
37,63158,618,88431,20,159536,119,1
33,48019,570,75745,23,56137,97,1
40,43639,503,70081,4,166304,81,1
45,110530,720,236204,5,66497,39,1
24,124911,513,96253,22,105485,53,1
30,46563,502,292355,3,187520,62,0
23,64341,715,131086,26,110468,19,1
38,140672,728,113783,17,5901,96,1
56,30776,835,145681,20,92980,61,1
42,61444,685,107893,27,112594,58,1
54,93916,554,178763,34,7881,20,1
28,33711,753,97960,21,34863,75,1
39,99318,523,42601,22,141694,67,1
57,107970,661,159227,2,137450,99,1
26,137301,657,220191,9,50201,45,1
46,110553,581,187849,24,64251,42,1
54,55707,658,175604,7,77572,56,1
26,64110,687,148727,10,44255,22,1
57,86788,559,83227,4,68212,49,1
53,107879,804,156039,28,55210,98,1
42,63827,818,104289,4,130629,77,1
41,132188,710,171094,8,27499,51,1
26,30655,651,225743,1,107552,28,0
26,69859,608,287866,0,187700,91,0
24,78625,575,178485,29,66360,110,1
50,77098,529,253820,10,140675,103,1
31,40251,813,256994,27,132466,28,1
50,147413,616,88323,11,90473,67,1
51,25526,691,60695,25,148704,32,1
44,93760,518,75841,12,166679,63,1
29,72837,672,218784,7,96873,89,1
23,36536,727,127096,27,70756,74,1
51,53541,849,112764,29,183066,21,1
57,104083,682,105744,8,199454,33,1
56,76027,612,29171,30,61344,43,1
44,59531,682,120755,20,189847,62,1
51,33712,645,128125,33,143421,17,0
26,129101,818,23696,30,76154,27,1
22,90455,615,146310,24,32464,66,1
40,99744,612,171385,11,178696,14,1
48,146787,750,65740,0,126897,35,1
31,30109,750,126611,21,42344,39,1
24,146332,802,268922,0,88791,63,1
35,74268,812,83811,0,160371,22,1
26,125737,617,202385,20,184047,92,1
50,79615,800,83232,14,137534,38,1
58,107503,660,297561,16,125209,12,1
22,148274,697,175801,21,86441,99,1
35,54759,759,132492,34,95456,113,1
31,110708,647,50099,15,86788,67,1
28,85112,739,249206,7,176653,85,1
46,127471,546,138474,16,19175,11,1
25,148153,697,291400,16,142263,84,1
26,51589,546,263588,25,88434,117,1
46,55015,577,54681,12,89518,37,1
24,54009,623,111328,16,71537,91,1
39,108309,574,238512,16,120721,86,1
40,87046,636,54540,13,52645,110,1
53,131661,589,177608,5,28283,95,1
40,51143,824,104700,34,91971,85,1
32,31154,560,207647,13,97759,11,0
21,46804,637,66002,7,195195,110,1
46,66688,549,69812,14,107780,16,1
34,89288,758,211051,26,166096,35,1
58,76195,606,277906,12,185702,99,1
57,45581,612,128946,30,35734,97,1
31,77648,849,86668,34,5515,85,1
56,55087,753,119003,5,115782,25,1
33,74930,617,231142,4,71727,32,1
23,57981,697,240462,21,114164,49,1
53,94298,836,214886,22,51216,69,1
26,71167,550,124601,24,76833,82,1
30,100304,744,289956,33,63755,41,1
25,68408,534,81844,25,32856,24,1
43,64499,801,221165,4,78870,110,1
30,77269,568,194870,25,160234,22,1
22,63559,848,94601,19,142080,14,1
33,139126,819,277927,5,12987,84,1
22,99319,548,193423,5,198604,83,1
40,136925,573,113330,17,101502,61,1
21,120317,691,245391,3,139404,86,1
57,121347,760,233606,16,71323,50,1
29,73787,569,211387,13,175062,62,1
37,60488,589,261133,13,14873,119,0
29,99441,759,182627,12,172516,59,1
31,99663,625,198048,6,171412,24,1
35,47431,730,65095,14,110219,115,1
44,86681,794,165342,18,10033,16,1
58,88483,628,181980,34,78324,49,1
55,147720,779,297667,16,20689,37,1
50,74153,812,82433,34,114756,41,1
51,31368,599,39991,18,5066,108,0
25,52424,825,292919,19,119159,24,1
34,137360,796,167745,34,181318,109,1
31,70004,681,142808,31,12533,94,1
29,108869,673,178128,23,120828,79,1
54,113652,815,157686,16,64658,74,1
32,137755,687,27415,6,43498,13,1
55,81985,556,266038,0,114028,20,0
55,75069,530,274205,34,16772,117,0
21,77326,583,208221,31,94385,35,1
42,133737,651,188616,12,185108,70,1
49,106061,535,69976,5,194603,46,1
28,48398,712,285976,13,17940,32,0
31,123393,605,241883,14,123027,102,1
57,75861,841,231509,3,21932,94,0
34,100897,719,259241,15,192899,118,1
50,106905,662,239526,27,197503,118,1
55,93577,719,208799,15,29648,100,1
41,90641,769,58578,3,37966,112,1
57,34078,619,110453,25,163849,49,0
25,50003,835,228859,27,168639,86,1
39,87768,681,131435,31,153246,32,1
34,76047,605,236101,1,47598,25,0
46,96626,716,171538,30,195271,103,1
24,82660,704,65475,2,149870,70,1
45,129386,569,236232,7,153630,77,1
45,74786,543,177636,23,66084,113,1
38,26925,828,173484,14,180309,89,1
28,108976,800,113526,30,136250,40,1
59,130221,727,71001,8,22118,62,1
34,142832,683,212029,1,27616,115,1
52,51015,606,164228,7,136870,34,1
58,58320,583,45711,6,12601,53,1
53,89881,837,50106,15,30363,21,1
43,115827,749,237583,34,7795,99,1
35,145071,520,158286,29,102462,110,1
53,127215,695,247189,9,181336,106,1
45,51289,677,146479,17,107892,101,1
37,28389,506,156213,4,77833,18,0
53,50683,569,48884,28,8084,21,1
22,38629,626,284852,33,100865,78,0
34,86550,659,35088,22,5731,63,1
59,49826,747,196118,4,137201,63,1
26,125734,702,292158,29,164094,37,1
26,51630,647,215497,5,6605,65,0
23,123762,642,198207,3,82506,108,1
27,71163,698,98077,28,49130,78,1
28,123511,653,159784,22,165337,107,1
35,91435,641,225776,5,168402,119,1
49,36653,812,89087,31,73469,107,1
53,52961,664,294441,17,151259,86,1
50,106941,813,260341,14,161863,112,1
59,99137,520,88368,31,95436,115,1
47,58662,581,239571,8,117341,118,1
56,123818,568,271514,9,175939,67,1
49,81446,630,162180,19,136965,87,1
58,46288,586,279904,5,104694,84,0
53,147555,717,97603,2,24773,51,1
57,120081,804,53872,10,9239,47,1
47,61877,844,292872,16,25863,77,1
53,136562,840,105774,31,56415,62,1
24,40313,660,218522,3,73968,42,0
42,105885,677,240357,3,65430,80,1
22,97715,616,85942,16,6515,65,1
30,35326,695,33689,18,102206,114,1
25,135091,826,53276,4,150677,81,1
30,26560,585,121968,31,61240,110,0
53,104148,788,295194,21,10586,60,1
58,108186,580,86216,5,125419,83,1
33,51745,651,235516,34,127374,52,1
51,56890,560,41644,21,36186,24,1
56,45022,560,82021,0,31928,47,0
44,148629,527,188197,19,127990,24,1
35,77579,542,62291,21,92029,14,1
49,95316,668,45675,10,25711,102,1
28,108847,585,169359,12,59962,92,1
25,53380,676,282318,2,25039,63,0
49,135198,516,112268,8,41561,60,1
24,27356,597,204384,11,6577,19,0
32,95326,697,125410,22,112792,21,1
22,117447,597,149887,13,164422,13,1
47,139994,564,221554,32,169870,104,1
51,114899,829,54675,17,15785,27,1
56,45049,840,286317,8,77227,89,1
56,100717,504,201517,22,123680,113,1
46,130361,501,90305,9,66957,45,1
47,41082,521,188636,18,70431,34,0
25,25661,611,108791,4,153369,96,0
40,62412,556,179034,22,76894,85,1
31,139015,565,90533,29,199844,107,1
30,148191,829,207256,24,155653,45,1
58,27920,597,161650,27,60192,110,0
26,116194,643,151060,33,6462,76,1
28,139306,624,169696,24,133848,18,1
43,85315,666,262188,9,151583,70,1
46,104561,585,257501,13,81106,62,1
32,33946,575,203887,29,53665,27,0
46,119242,843,24986,24,180486,52,1
33,70500,793,283625,13,86010,44,1
38,129540,558,220339,34,77573,72,1
45,41309,637,141950,33,112803,107,0
53,80230,598,145355,9,124682,114,1
32,136822,691,47798,34,18386,87,1
56,123656,742,111649,10,129069,13,1
24,148782,818,39477,10,59460,102,1
25,55027,548,237400,20,142293,50,1
57,97541,531,237060,20,159546,54,1
28,137340,776,293586,21,120375,59,1
48,139846,519,126464,6,117660,88,1
51,84321,653,151184,16,157117,37,1
29,25956,567,107051,1,96319,51,0
49,125375,713,170653,11,121582,89,1
34,99131,642,265300,17,140994,85,1
42,72908,731,79722,10,158778,78,1
31,103339,712,112036,15,47771,107,1
43,50963,578,248634,17,57335,115,1
21,126757,713,167595,34,57949,10,1
57,64443,615,268709,25,100558,48,1
41,124259,591,161880,15,151312,105,1
46,64063,769,255419,5,107272,99,1
56,139225,667,174692,11,7716,26,1
43,141400,557,283031,12,152646,100,1
21,105818,783,105024,3,180138,97,1
35,29703,525,265809,1,197898,44,0
41,90128,565,138639,25,156285,55,1
29,97099,747,101938,26,76916,51,1
29,50849,753,237813,26,55906,48,1
30,56860,543,272100,14,5463,99,0
46,56585,596,104526,7,168045,58,1
55,47015,541,66220,6,79694,71,1
45,102539,726,95277,11,156723,47,1
46,68585,761,142332,12,73694,32,1
31,51958,666,254231,16,25008,31,0
58,51017,778,42931,16,75474,13,1
22,101707,588,109116,20,43185,58,1
27,149677,677,271671,7,92924,68,1
38,70350,696,71913,4,39980,82,1
47,37201,806,270216,25,27504,77,0
